0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
DELHI,34.0,19.0,23.0,83.0,82.0,87.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,16.0,53.0,32.0,01/01/2018
DELHI,34.0,19.0,22.0,83.0,82.0,87.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,16.0,51.0,31.0,02/01/2018
DELHI,34.0,19.0,22.0,81.0,82.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,16.0,50.0,30.0,03/01/2018
DELHI,34.0,19.0,22.0,81.0,82.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,50.0,27.0,04/01/2018
DELHI,34.0,19.0,22.0,81.0,82.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,50.0,27.0,05/01/2018
DELHI,34.0,19.0,22.0,81.0,82.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,50.0,26.0,06/01/2018
DELHI,34.0,19.0,22.0,81.0,82.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,50.0,26.0,07/01/2018
DELHI,34.0,19.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,55.0,27.0,08/01/2018
DELHI,34.0,19.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,55.0,27.0,09/01/2018
DELHI,34.0,19.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,54.0,25.0,10/01/2018
DELHI,34.0,20.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,53.0,231.0,17.0,15.0,54.0,26.0,11/01/2018
DELHI,34.0,20.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,51.0,234.0,17.0,15.0,54.0,25.0,12/01/2018
DELHI,34.0,20.0,22.0,79.0,81.0,85.0,84.0,74.0,40.0,42.0,164.0,120.0,88.0,102.0,109.0,78.0,51.0,234.0,17.0,14.0,52.0,25.0,13/01/2018
