Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
SHIMLA,32.0,,22.0,48.0,78.0,70.0,85.0,65.0,36.0,,170.0,,88.0,,,,40.0,160.0,17.0,18.0,25.0,25.0
MANDI,27.0,,22.0,45.0,74.0,61.0,80.0,62.0,35.0,25.0,,108.0,75.0,77.0,,,33.0,285.0,14.0,13.0,21.0,29.0
SRINAGAR,,,,,,,,,,,,,,,,,,,,,,
JAMMU,,,,,,,,,,,,,,,,,,,,,,
AMRITSAR,35.0,19.0,21.0,45.0,69.0,51.0,70.0,60.0,38.0,38.0,145.0,91.0,67.0,93.0,97.0,,38.0,250.0,19.0,18.0,22.0,49.0
LUDHIANA,,,,,,,,,,,,,,,,,,,,,,
BATHINDA,,,,,,,,,,,,,,,,,,,,,,
LUCKNOW,21.0,18.0,20.0,58.0,76.0,88.0,85.0,69.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,230.0,16.0,16.0,22.0,30.0
KANPUR,19.0,17.0,20.0,45.0,70.0,75.0,80.0,60.0,35.0,44.0,115.0,90.0,80.0,,,,36.0,190.0,14.0,10.0,20.0,20.0
VARANASI,20.0,16.0,22.0,45.0,74.0,65.0,80.0,55.0,38.0,40.0,125.0,105.0,69.0,,,,36.0,230.0,16.0,20.0,20.0,30.0
AGRA,25.0,17.0,19.0,43.0,70.0,60.0,66.0,55.0,33.0,38.0,95.0,90.0,70.0,,,,26.0,250.0,15.0,15.0,35.0,30.0
DEHRADUN,21.0,16.0,21.0,50.0,68.0,58.0,80.0,,35.0,36.0,127.0,84.0,78.0,99.0,,,35.0,240.0,16.0,18.0,25.0,28.0
RAIPUR,,,,,,,,,,,,,,,,,,,,,,
PANAJI,33.0,29.0,27.0,58.0,73.0,,,63.0,32.0,40.0,,140.0,98.0,102.0,113.0,75.0,48.0,165.0,16.0,28.0,25.0,22.0
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,26.0
RAJKOT,24.0,22.0,20.0,43.0,70.0,63.0,82.0,55.0,31.0,44.0,95.0,79.0,68.0,84.0,86.0,64.0,43.0,260.0,15.0,18.0,15.0,15.0
BHOPAL,20.0,17.0,19.0,63.0,70.0,54.0,62.0,44.0,38.0,35.0,129.0,78.0,62.0,75.0,79.0,61.0,36.0,165.0,12.0,20.0,18.0,35.0
INDORE,26.0,20.0,22.0,45.0,75.0,57.0,80.0,60.0,33.0,36.0,115.0,93.0,78.0,90.0,105.0,,42.0,210.0,8.0,18.0,20.0,12.0
GWALIOR,,,,,,,,,,,,,,,,,,,,,,
JABALPUR,22.0,15.0,18.0,39.0,55.0,45.0,59.0,50.0,34.0,44.0,110.0,85.0,62.0,73.0,92.0,65.0,35.0,201.0,10.0,20.0,25.0,15.0
