0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,26.0,01/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,26.0,02/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,26.0,03/01/2014
AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,26.0,06/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,25.0,07/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,25.0,08/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,25.0,09/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,25.0,10/01/2014
AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
AHMEDABAD,19.0,19.0,16.0,46.0,65.0,55.0,72.0,42.0,35.0,40.0,97.0,86.0,65.0,86.0,87.0,60.0,48.0,250.0,15.0,20.0,25.0,25.0,13/01/2014
AHMEDABAD,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
