0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,01/01/2014
CHENNAI,31.0,31.0,32.0,52.0,68.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,95.0,70.0,51.0,220.0,16.0,22.0,17.0,13.0,02/01/2014
CHENNAI,31.0,31.0,32.0,52.0,68.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,95.0,70.0,51.0,220.0,16.0,22.0,19.0,10.0,03/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
CHENNAI,31.0,31.0,32.0,52.0,68.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,95.0,70.0,51.0,220.0,16.0,22.0,19.0,10.0,06/01/2014
CHENNAI,31.0,31.0,32.0,52.0,68.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,95.0,70.0,51.0,220.0,16.0,22.0,18.0,10.0,07/01/2014
CHENNAI,32.0,31.0,32.0,52.0,70.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,93.0,69.0,52.0,220.0,17.0,19.0,18.0,9.0,08/01/2014
CHENNAI,32.0,31.0,32.0,52.0,70.0,73.0,88.0,56.0,32.0,27.0,105.0,,86.0,,93.0,69.0,52.0,220.0,17.0,18.0,17.0,8.0,09/01/2014
CHENNAI,32.0,31.0,32.0,52.0,73.0,73.0,88.0,54.0,32.0,27.0,105.0,,88.0,,93.0,69.0,54.0,220.0,17.0,18.0,14.0,9.0,10/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
CHENNAI,32.0,31.0,32.0,52.0,73.0,73.0,88.0,54.0,32.0,27.0,105.0,,88.0,,93.0,69.0,54.0,220.0,17.0,14.0,14.0,10.0,13/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,15/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,16/01/2014
CHENNAI,32.0,31.0,32.0,52.0,73.0,73.0,88.0,54.0,32.0,27.0,,,,,,,54.0,220.0,17.0,14.0,15.0,10.0,17/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
CHENNAI,32.0,31.0,32.0,52.0,73.0,73.0,88.0,54.0,32.0,27.0,105.0,,88.0,,93.0,68.0,51.0,220.0,17.0,14.0,15.0,9.0,20/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,21/01/2014
CHENNAI,32.0,31.0,32.0,52.0,74.0,75.0,88.0,52.0,32.0,,,,,,,,51.0,220.0,17.0,14.0,15.0,8.0,22/01/2014
CHENNAI,32.0,31.0,32.0,52.0,74.0,75.0,88.0,52.0,32.0,,,,,,,,51.0,220.0,17.0,16.0,18.0,10.0,23/01/2014
CHENNAI,32.0,31.0,32.0,52.0,74.0,76.0,88.0,52.0,32.0,,104.0,,80.0,,93.0,68.0,51.0,220.0,17.0,18.0,20.0,9.0,24/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,25/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,26/01/2014
CHENNAI,32.0,31.0,32.0,52.0,74.0,77.0,88.0,52.0,32.0,,104.0,,80.0,,93.0,68.0,51.0,220.0,17.0,18.0,20.0,8.0,27/01/2014
CHENNAI,32.0,31.0,32.0,52.0,74.0,77.0,88.0,52.0,32.0,,104.0,,80.0,,93.0,68.0,51.0,220.0,17.0,18.0,20.0,8.0,28/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,29/01/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,88.0,52.0,32.0,,104.0,,80.0,,93.0,68.0,51.0,220.0,17.0,16.0,16.0,8.0,30/01/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,90.0,52.0,32.0,,104.0,,,,96.0,69.0,51.0,,17.0,16.0,16.0,8.0,31/01/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,01/02/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,02/02/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,91.0,52.0,32.0,,104.0,,85.0,,96.0,69.0,51.0,,17.0,17.0,17.0,10.0,03/02/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,91.0,52.0,32.0,,104.0,,85.0,,96.0,69.0,51.0,220.0,17.0,17.0,17.0,10.0,04/02/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,17.0,15.0,9.0,05/02/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,16.0,14.0,9.0,06/02/2014
CHENNAI,32.0,31.0,32.0,51.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,16.0,14.0,9.0,07/02/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,08/02/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,09/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,15.0,14.0,8.0,10/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,15.0,14.0,11.0,11/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,15.0,14.0,11.0,12/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,15.0,16.0,11.0,13/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,51.0,32.0,,104.0,,85.0,,94.0,69.0,51.0,220.0,17.0,15.0,16.0,9.0,14/02/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,15/02/2014
CHENNAI,,,,,,,,,,,,,,,,,,,,,,,16/02/2014
CHENNAI,32.0,31.0,33.0,50.0,74.0,77.0,96.0,49.0,32.0,,104.0,,85.0,,94.0,69.0,56.0,220.0,17.0,17.0,17.0,10.0,17/02/2014
CHENNAI,32.0,31.0,32.0,50.0,74.0,77.0,96.0,52.0,31.0,,103.0,,85.0,,92.0,69.0,55.0,220.0,17.0,20.0,16.0,8.0,18/02/2014
CHENNAI,32.0,31.0,32.0,50.0,74.0,77.0,96.0,52.0,31.0,,103.0,,85.0,,92.0,69.0,55.0,220.0,17.0,17.0,16.0,9.0,19/02/2014
CHENNAI,32.0,31.0,32.0,50.0,74.0,77.0,96.0,52.0,31.0,,103.0,,85.0,,92.0,69.0,55.0,220.0,17.0,15.0,12.0,8.0,20/02/2014
