0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
GUWAHATI,21.0,21.0,22.0,41.0,62.0,65.0,77.0,53.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,14.0,18.0,15.0,01/01/2014
GUWAHATI,21.0,21.0,22.0,41.0,62.0,65.0,77.0,53.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,14.0,18.0,15.0,02/01/2014
GUWAHATI,21.0,21.0,22.0,41.0,62.0,65.0,75.0,53.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,14.0,18.0,25.0,03/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
GUWAHATI,21.0,21.0,22.0,41.0,62.0,65.0,75.0,53.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,14.0,18.0,25.0,06/01/2014
GUWAHATI,21.0,21.0,23.0,41.0,62.0,65.0,,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,24.0,25.0,07/01/2014
GUWAHATI,21.0,21.0,23.0,41.0,62.0,65.0,80.0,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,25.0,25.0,08/01/2014
GUWAHATI,21.0,21.0,23.0,41.0,62.0,65.0,80.0,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,25.0,25.0,09/01/2014
GUWAHATI,21.0,21.0,23.0,41.0,62.0,65.0,80.0,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,25.0,25.0,10/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,78.0,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,22.0,25.0,13/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,15/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,78.0,56.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,22.0,25.0,16/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,20.0,25.0,17/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,20.0,25.0,20/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,20.0,25.0,21/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,20.0,25.0,22/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,23/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,15.0,20.0,25.0,24/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,25/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,26/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,18.0,25.0,27/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,20.0,25.0,28/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,29/01/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,35.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,12.0,20.0,25.0,30/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,31/01/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,01/02/2014
GUWAHATI,,,,,,,,,,,,,,,,,,,,,,,02/02/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,34.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,10.0,20.0,20.0,03/02/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,34.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,10.0,20.0,20.0,04/02/2014
GUWAHATI,24.0,21.0,23.0,41.0,62.0,65.0,82.0,58.0,34.0,40.0,,80.0,65.0,80.0,,,,130.0,6.0,10.0,20.0,20.0,05/02/2014
