0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,10.0,01/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,20.0,14.0,10.0,02/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,22.0,14.0,10.0,03/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,20.0,14.0,12.0,06/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,20.0,14.0,10.0,07/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,20.0,14.0,7.0,08/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,7.0,09/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,10/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,13/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,15/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,7.0,16/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,7.0,17/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,103.0,103.0,80.0,81.0,92.0,67.0,50.0,194.0,11.0,18.0,14.0,7.0,20/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,98.0,103.0,80.0,81.0,87.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,21/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,97.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,22/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,96.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,23/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,7.0,24/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,25/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,26/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,14.0,14.0,7.0,27/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,14.0,14.0,7.0,28/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,29/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,14.0,14.0,8.0,30/01/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,14.0,14.0,8.0,31/01/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,01/02/2014
HYDERABAD,,,,,,,,,,,,,,,,,,,,,,,02/02/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,8.0,03/02/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,8.0,04/02/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,8.0,05/02/2014
HYDERABAD,27.0,28.0,30.0,69.0,80.0,72.0,84.0,60.0,38.0,37.0,94.0,103.0,80.0,81.0,86.0,67.0,50.0,194.0,11.0,16.0,14.0,8.0,06/02/2014
