0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,01/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,18.0,22.0,25.0,02/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,18.0,25.0,25.0,03/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,16.0,25.0,25.0,06/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,16.0,25.0,22.0,07/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,16.0,25.0,22.0,08/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,16.0,22.0,22.0,09/01/2014
KOLKATA,24.0,,20.0,50.0,72.0,62.0,100.0,54.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,16.0,22.0,22.0,10/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
KOLKATA,21.0,,20.0,50.0,72.0,62.0,102.0,56.0,34.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,15.0,22.0,22.0,13/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
KOLKATA,24.0,,21.0,50.0,72.0,62.0,102.0,56.0,35.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,15.0,22.0,22.0,15/01/2014
KOLKATA,24.0,,21.0,50.0,72.0,62.0,102.0,56.0,35.0,30.0,124.0,98.0,72.0,83.0,96.0,63.0,,120.0,9.0,15.0,22.0,22.0,16/01/2014
KOLKATA,25.0,,22.0,50.0,72.0,65.0,105.0,58.0,34.0,30.0,120.0,,72.0,82.0,,62.0,,120.0,9.0,12.0,20.0,22.0,17/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
KOLKATA,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
