0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
LUCKNOW,21.0,18.0,20.0,58.0,76.0,88.0,85.0,69.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,230.0,16.0,16.0,22.0,30.0,01/01/2014
LUCKNOW,21.0,18.0,20.0,58.0,76.0,88.0,85.0,69.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,230.0,16.0,15.0,20.0,30.0,02/01/2014
LUCKNOW,21.0,18.0,20.0,58.0,76.0,88.0,85.0,69.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,230.0,16.0,15.0,20.0,30.0,03/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
LUCKNOW,21.0,18.0,20.0,56.0,75.0,89.0,86.0,69.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,25.0,06/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,07/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,30.0,08/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,25.0,09/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,25.0,10/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,25.0,13/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,14.0,20.0,20.0,15/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,75.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,14.0,20.0,20.0,16/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,74.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,20.0,17/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
LUCKNOW,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
LUCKNOW,21.0,18.0,20.0,55.0,74.0,89.0,86.0,67.0,34.0,44.0,146.0,105.0,73.0,,,,40.0,231.0,16.0,15.0,20.0,20.0,20/01/2014
