0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MUMBAI,30.0,29.0,29.0,66.0,93.0,83.0,87.0,61.0,34.0,38.0,131.0,98.0,102.0,91.0,89.0,65.0,53.0,233.0,16.0,24.0,26.0,19.0,01/01/2014
MUMBAI,30.0,29.0,29.0,66.0,93.0,83.0,87.0,61.0,34.0,38.0,131.0,98.0,102.0,91.0,89.0,65.0,53.0,233.0,16.0,22.0,25.0,19.0,02/01/2014
MUMBAI,30.0,29.0,29.0,66.0,93.0,83.0,87.0,61.0,34.0,38.0,131.0,98.0,102.0,91.0,89.0,65.0,53.0,233.0,16.0,22.0,26.0,21.0,03/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,06/01/2014
MUMBAI,30.0,27.0,29.0,,,81.0,,61.0,34.0,38.0,131.0,98.0,102.0,91.0,89.0,65.0,55.0,233.0,16.0,24.0,27.0,21.0,07/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,131.0,98.0,102.0,91.0,89.0,65.0,55.0,233.0,16.0,24.0,27.0,21.0,08/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,130.0,98.0,102.0,91.0,89.0,65.0,55.0,233.0,16.0,22.0,27.0,22.0,09/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,130.0,98.0,102.0,91.0,89.0,65.0,55.0,233.0,16.0,22.0,27.0,22.0,10/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,130.0,97.0,103.0,92.0,88.0,65.0,55.0,233.0,16.0,22.0,,21.0,13/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,130.0,98.0,107.0,91.0,88.0,65.0,55.0,233.0,16.0,22.0,25.0,23.0,15/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,130.0,98.0,107.0,91.0,88.0,65.0,52.0,233.0,16.0,22.0,25.0,23.0,16/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,132.0,98.0,107.0,91.0,88.0,65.0,52.0,233.0,16.0,25.0,25.0,21.0,17/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,132.0,99.0,103.0,92.0,88.0,65.0,52.0,233.0,16.0,23.0,24.0,21.0,20/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,132.0,98.0,105.0,92.0,88.0,65.0,53.0,233.0,16.0,24.0,23.0,21.0,21/01/2014
MUMBAI,30.0,27.0,29.0,56.0,89.0,81.0,91.0,61.0,34.0,39.0,129.0,97.0,107.0,92.0,87.0,65.0,53.0,233.0,16.0,24.0,23.0,21.0,22/01/2014
MUMBAI,30.0,28.0,29.0,62.0,86.0,83.0,84.0,63.0,34.0,39.0,129.0,97.0,104.0,92.0,87.0,64.0,53.0,233.0,16.0,24.0,23.0,21.0,23/01/2014
MUMBAI,,,,,,,,,,,,,,,,,,,,,,,24/01/2014
