0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,69.0,87.0,89.0,72.0,,170.0,15.0,17.0,18.0,25.0,01/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,69.0,87.0,89.0,72.0,,170.0,15.0,17.0,18.0,25.0,02/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,69.0,87.0,89.0,72.0,,170.0,15.0,17.0,18.0,25.0,03/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,69.0,87.0,89.0,72.0,,170.0,15.0,17.0,18.0,25.0,06/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,07/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,68.0,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,08/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,68.0,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,09/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,68.0,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,10/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,68.0,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,13/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,15/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,68.0,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,16/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,73.0,51.0,34.0,34.0,,90.0,,88.0,89.0,72.0,,170.0,15.0,16.0,17.0,20.0,17/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
PATNA,,,,,,,,,,,,,,,,,,,,,,,20/01/2014
PATNA,29.0,20.0,21.0,43.0,65.0,53.0,72.0,51.0,33.0,34.0,,90.0,68.0,88.0,89.0,71.0,,170.0,15.0,16.0,17.0,19.0,21/01/2014
