0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,01/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,02/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,03/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,04/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,05/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,06/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,07/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,08/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,09/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,52.0,132.0,137.0,,,115.0,85.0,58.0,240.0,15.0,26.0,32.0,40.0,10/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,11/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,12/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,13/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,14/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,,132.0,137.0,,,115.0,84.0,58.0,240.0,15.0,26.0,32.0,40.0,15/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,64.0,40.0,,132.0,137.0,,,115.0,84.0,58.0,240.0,15.0,26.0,32.0,40.0,16/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,17/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,18/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,19/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,65.0,40.0,52.0,132.0,137.0,,,115.0,84.0,58.0,240.0,15.0,26.0,30.0,36.0,20/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,21/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,65.0,40.0,52.0,131.0,137.0,,,115.0,83.0,58.0,240.0,15.0,26.0,30.0,36.0,22/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,23/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,24/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,25/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,26/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,65.0,40.0,52.0,131.0,137.0,,,115.0,83.0,58.0,240.0,15.0,26.0,30.0,36.0,27/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,65.0,40.0,52.0,131.0,137.0,,,115.0,83.0,58.0,240.0,15.0,26.0,30.0,36.0,28/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,29/01/2014
PORT BLAIR,52.0,27.0,44.0,51.0,79.0,,,65.0,40.0,52.0,131.0,137.0,,,115.0,83.0,58.0,240.0,16.0,26.0,30.0,30.0,30/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,31/01/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,01/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,02/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,79.0,,,67.0,40.0,52.0,131.0,137.0,,,115.0,82.0,60.0,240.0,16.0,26.0,26.0,30.0,03/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,04/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,05/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,06/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,07/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,08/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,09/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,10/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,11/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,12/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,13/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,79.0,,,67.0,40.0,52.0,131.0,137.0,,,115.0,82.0,60.0,240.0,16.0,24.0,26.0,30.0,14/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,15/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,16/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,17/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,75.0,,,66.0,40.0,52.0,131.0,137.0,,,,82.0,60.0,240.0,16.0,22.0,26.0,30.0,18/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,75.0,,,66.0,40.0,52.0,131.0,137.0,,,,82.0,60.0,240.0,16.0,22.0,26.0,30.0,19/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,75.0,,,66.0,40.0,52.0,131.0,137.0,,,115.0,82.0,60.0,240.0,16.0,22.0,26.0,30.0,20/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,75.0,,,66.0,40.0,52.0,131.0,137.0,,,115.0,82.0,60.0,240.0,16.0,22.0,26.0,30.0,21/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,22/02/2014
PORT BLAIR,,,,,,,,,,,,,,,,,,,,,,,23/02/2014
PORT BLAIR,52.0,27.0,44.0,53.0,75.0,,,66.0,40.0,52.0,131.0,137.0,,,115.0,85.0,60.0,240.0,16.0,,,30.0,24/02/2014
