,price,date,city,rate
0,105.0,2014-01-01,,
1,105.0,2014-01-02,,
2,105.0,2014-01-03,,
3,105.0,2014-01-04,Chennai,75.71
4,105.0,2014-01-05,,
5,105.0,2014-01-06,,
6,105.0,2014-01-07,,
7,105.0,2014-01-08,,
8,105.0,2014-01-09,,
9,105.0,2014-01-10,,
10,105.0,2014-01-11,,
11,105.0,2014-01-12,,
12,105.0,2014-01-13,,
13,105.0,2014-01-14,,
14,105.0,2014-01-15,,
15,105.0,2014-01-16,,
16,105.0,2014-01-17,,
17,105.0,2014-01-18,,
18,105.0,2014-01-19,,
19,105.0,2014-01-20,,
20,104.75,2014-01-21,,
21,104.5,2014-01-22,,
22,104.25,2014-01-23,,
23,104.0,2014-01-24,,
24,104.0,2014-01-25,,
25,104.0,2014-01-26,,
26,104.0,2014-01-27,,
27,104.0,2014-01-28,,
28,104.0,2014-01-29,,
29,104.0,2014-01-30,,
30,104.0,2014-01-31,,
31,104.0,2014-02-01,,
32,104.0,2014-02-02,,
33,104.0,2014-02-03,,
34,104.0,2014-02-04,,
35,104.0,2014-02-05,,
36,104.0,2014-02-06,,
37,104.0,2014-02-07,,
38,104.0,2014-02-08,,
39,104.0,2014-02-09,,
40,104.0,2014-02-10,,
41,104.0,2014-02-11,,
42,104.0,2014-02-12,,
43,104.0,2014-02-13,,
44,104.0,2014-02-14,,
45,104.0,2014-02-15,,
46,104.0,2014-02-16,,
47,104.0,2014-02-17,,
48,103.0,2014-02-18,,
49,103.0,2014-02-19,,
50,103.0,2014-02-20,,
51,103.0,2014-02-21,,
52,103.0,2014-02-22,,
53,103.0,2014-02-23,,
54,103.0,2014-02-24,,
55,103.0,2014-02-25,,
56,103.0,2014-02-26,,
57,103.0,2014-02-27,,
58,103.0,2014-02-28,,
59,103.0,2014-03-01,Chennai,76.48
60,103.0,2014-03-02,,
61,103.0,2014-03-03,,
62,104.0,2014-03-04,,
63,104.0,2014-03-05,,
64,104.0,2014-03-06,,
65,106.0,2014-03-07,,
66,106.0,2014-03-08,,
67,106.0,2014-03-09,,
68,106.0,2014-03-10,,
69,106.0,2014-03-11,,
70,104.0,2014-03-12,,
71,104.0,2014-03-13,,
72,104.0,2014-03-14,,
73,104.0,2014-03-15,,
74,104.0,2014-03-16,,
75,104.0,2014-03-17,,
76,104.0,2014-03-18,,
77,102.0,2014-03-19,,
78,102.0,2014-03-20,,
79,102.0,2014-03-21,,
80,102.0,2014-03-22,,
81,102.0,2014-03-23,,
82,102.0,2014-03-24,,
83,102.0,2014-03-25,,
84,102.0,2014-03-26,,
85,102.0,2014-03-27,,
86,102.0,2014-03-28,,
87,102.0,2014-03-29,,
88,102.0,2014-03-30,,
89,102.0,2014-03-31,,
90,102.0,2014-04-01,Chennai,75.49
91,102.0,2014-04-02,,
92,103.0,2014-04-03,,
93,103.0,2014-04-04,,
94,103.0,2014-04-05,,
95,103.0,2014-04-06,,
96,103.0,2014-04-07,,
97,103.0,2014-04-08,,
98,103.0,2014-04-09,,
99,103.0,2014-04-10,,
100,103.0,2014-04-11,,
101,103.0,2014-04-12,,
102,103.0,2014-04-13,,
103,103.0,2014-04-14,,
104,103.0,2014-04-15,,
105,103.0,2014-04-16,Chennai,74.6
106,103.0,2014-04-17,,
107,103.0,2014-04-18,,
108,103.0,2014-04-19,,
109,103.0,2014-04-20,,
110,103.0,2014-04-21,,
111,103.0,2014-04-22,,
112,103.0,2014-04-23,,
113,103.0,2014-04-24,,
114,103.0,2014-04-25,,
115,103.0,2014-04-26,,
116,103.0,2014-04-27,,
117,103.0,2014-04-28,,
118,103.0,2014-04-29,,
119,103.0,2014-04-30,,
120,103.0,2014-05-01,,
121,103.0,2014-05-02,,
122,103.0,2014-05-03,,
123,103.0,2014-05-04,,
124,103.0,2014-05-05,,
125,103.0,2014-05-06,,
126,103.0,2014-05-07,,
127,103.0,2014-05-08,,
128,103.0,2014-05-09,,
129,103.0,2014-05-10,,
130,103.0,2014-05-11,,
131,103.0,2014-05-12,,
132,103.0,2014-05-13,,
133,103.0,2014-05-14,,
134,103.0,2014-05-15,,
135,103.0,2014-05-16,,
136,103.0,2014-05-17,,
137,103.0,2014-05-18,,
138,103.0,2014-05-19,,
139,103.0,2014-05-20,,
140,103.0,2014-05-21,,
141,103.0,2014-05-22,,
142,103.0,2014-05-23,,
143,103.0,2014-05-24,,
144,103.0,2014-05-25,,
145,103.0,2014-05-26,,
146,103.0,2014-05-27,,
147,102.0,2014-05-28,,
148,102.0,2014-05-29,,
149,102.0,2014-05-30,,
150,102.0,2014-05-31,,
151,102.0,2014-06-01,,
152,102.0,2014-06-02,,
153,102.0,2014-06-03,,
154,102.0,2014-06-04,,
155,102.0,2014-06-05,,
156,102.0,2014-06-06,,
157,102.0,2014-06-07,Chennai,74.71
158,102.0,2014-06-08,,
159,102.0,2014-06-09,,
160,102.0,2014-06-10,,
161,102.0,2014-06-11,,
162,102.0,2014-06-12,,
163,102.0,2014-06-13,,
164,102.0,2014-06-14,,
165,102.0,2014-06-15,,
166,102.0,2014-06-16,,
167,100.0,2014-06-17,,
168,100.0,2014-06-18,,
169,100.0,2014-06-19,,
170,100.0,2014-06-20,,
171,100.0,2014-06-21,,
172,100.0,2014-06-22,,
173,100.0,2014-06-23,,
174,100.0,2014-06-24,,
175,100.0,2014-06-25,Chennai,74.76
176,100.0,2014-06-26,,
177,100.0,2014-06-27,,
178,100.0,2014-06-28,,
179,100.0,2014-06-29,,
180,100.0,2014-06-30,,
181,100.0,2014-07-01,Chennai,76.93
182,100.0,2014-07-02,,
183,100.0,2014-07-03,,
184,100.0,2014-07-04,,
185,100.0,2014-07-05,,
186,100.0,2014-07-06,,
187,100.0,2014-07-07,,
188,100.0,2014-07-08,,
189,100.0,2014-07-09,,
190,100.0,2014-07-10,,
191,100.0,2014-07-11,,
192,100.0,2014-07-12,,
193,100.0,2014-07-13,,
194,100.0,2014-07-14,,
195,100.0,2014-07-15,,
196,100.0,2014-07-16,,
197,100.0,2014-07-17,,
198,100.0,2014-07-18,,
199,100.0,2014-07-19,,
200,100.0,2014-07-20,,
201,100.0,2014-07-21,,
202,98.0,2014-07-22,,
203,98.0,2014-07-23,,
204,98.0,2014-07-24,,
205,98.0,2014-07-25,,
206,98.0,2014-07-26,,
207,98.0,2014-07-27,,
208,98.0,2014-07-28,,
209,98.0,2014-07-29,,
210,98.0,2014-07-30,,
211,98.0,2014-07-31,,
212,98.0,2014-08-01,Chennai,75.78
213,98.0,2014-08-02,,
214,98.0,2014-08-03,,
215,98.0,2014-08-04,,
216,98.0,2014-08-05,,
217,98.0,2014-08-06,,
218,98.0,2014-08-07,,
219,98.0,2014-08-08,,
220,98.0,2014-08-09,,
221,98.0,2014-08-10,,
222,98.0,2014-08-11,,
223,98.0,2014-08-12,,
224,98.0,2014-08-13,,
225,98.0,2014-08-14,,
226,98.0,2014-08-15,Chennai,73.47
227,98.0,2014-08-16,,
228,98.0,2014-08-17,,
229,98.0,2014-08-18,,
230,98.0,2014-08-19,,
231,98.0,2014-08-20,,
232,98.0,2014-08-21,,
