,index,rate,date
0,1273,66.03,2017-06-26
1,1274,65.89,2017-06-27
2,1275,65.94,2017-06-28
3,1276,65.9,2017-06-29
4,1277,65.78,2017-06-30
5,1278,,2017-07-01
6,1279,,2017-07-02
7,1280,65.56,2017-07-03
8,1281,65.46,2017-07-04
9,1282,65.5,2017-07-05
10,1283,65.58,2017-07-06
11,1284,65.72,2017-07-07
12,1285,,2017-07-08
13,1286,,2017-07-09
14,1287,66.29,2017-07-10
15,1288,66.38,2017-07-11
16,1289,66.43,2017-07-12
17,1290,66.36,2017-07-13
18,1291,66.34,2017-07-14
19,1292,,2017-07-15
20,1293,,2017-07-16
21,1294,66.66,2017-07-17
22,1295,66.67,2017-07-18
23,1296,66.72,2017-07-19
24,1297,66.77,2017-07-20
25,1298,66.75,2017-07-21
26,1299,,2017-07-22
27,1300,,2017-07-23
28,1301,67.06,2017-07-24
29,1302,67.1,2017-07-25
30,1303,67.06,2017-07-26
31,1304,67.07,2017-07-27
32,1305,67.18,2017-07-28
33,1306,,2017-07-29
34,1307,,2017-07-30
35,1308,67.78,2017-07-31
36,1309,67.76,2017-08-01
37,1310,67.78,2017-08-02
38,1311,,2017-08-03
39,1312,68.34,2017-08-04
40,1313,,2017-08-05
41,1314,,2017-08-06
42,1315,69.08,2017-08-07
43,1316,69.13,2017-08-08
44,1317,69.2,2017-08-09
45,1318,69.35,2017-08-10
46,1319,69.68,2017-08-11
47,1320,,2017-08-12
48,1321,,2017-08-13
49,1322,70.44,2017-08-14
50,1323,,2017-08-15
51,1324,70.59,2017-08-16
52,1325,70.7,2017-08-17
53,1326,70.76,2017-08-18
54,1327,,2017-08-19
55,1328,,2017-08-20
56,1329,71.06,2017-08-21
57,1330,71.15,2017-08-22
58,1331,71.26,2017-08-23
59,1332,71.37,2017-08-24
60,1333,,2017-08-25
61,1334,,2017-08-26
62,1335,,2017-08-27
63,1336,71.64,2017-08-28
64,1337,71.62,2017-08-29
65,1338,71.67,2017-08-30
66,1339,71.7,2017-08-31
67,1340,71.78,2017-09-01
68,1341,,2017-09-02
69,1342,,2017-09-03
70,1343,72.17,2017-09-04
71,1344,72.25,2017-09-05
72,1345,,2017-09-06
73,1346,72.34,2017-09-07
74,1347,72.44,2017-09-08
75,1348,,2017-09-09
76,1349,,2017-09-10
77,1350,72.85,2017-09-11
78,1351,72.95,2017-09-12
79,1352,72.92,2017-09-13
80,1353,72.97,2017-09-14
81,1354,73.01,2017-09-15
82,1355,,2017-09-16
83,1356,,2017-09-17
84,1357,,2017-09-18
85,1358,73.07,2017-09-19
86,1359,73.1,2017-09-20
87,1360,73.07,2017-09-21
88,1361,73.05,2017-09-22
89,1362,,2017-09-23
90,1363,,2017-09-24
91,1364,72.96,2017-09-25
92,1365,72.99,2017-09-26
93,1366,72.96,2017-09-27
94,1367,73.04,2017-09-28
95,1368,73.15,2017-09-29
96,1369,,2017-09-30
97,1370,,2017-10-01
98,1371,,2017-10-02
99,1372,73.41,2017-10-03
100,1373,70.85,2017-10-04
101,1374,70.81,2017-10-05
102,1375,70.83,2017-10-06
103,1376,,2017-10-07
104,1377,,2017-10-08
105,1378,70.89,2017-10-09
106,1379,70.93,2017-10-10
107,1380,70.96,2017-10-11
108,1381,70.89,2017-10-12
109,1382,70.9,2017-10-13
110,1383,,2017-10-14
111,1384,,2017-10-15
112,1385,70.72,2017-10-16
113,1386,70.69,2017-10-17
114,1387,70.73,2017-10-18
115,1388,,2017-10-19
116,1389,,2017-10-20
117,1390,,2017-10-21
118,1391,,2017-10-22
119,1392,,2017-10-23
120,1393,71.04,2017-10-24
